,0
months_since_start,0.9343464013954687
co2_emissions,0.054732207339168046
co2_growth_rate,0.004505748937194971
co2_12mo_ma,0.003449812314154973
co2,0.002965830014013419
n2o,0.0
ch4,0.0
ch4_growth_rate,0.0
n2o_growth_rate,0.0
ch4_12mo_ma,0.0
n2o_12mo_ma,0.0
