,0
co2,0.030574368058713455
co2_growth_rate,0.03035535473568109
co2_12mo_ma,0.018404140130506137
months_since_start,0.00031882981717191175
co2_emissions,8.047227039569016e-07
ch4,-9.133102260583392e-15
n2o,2.3140940118987485e-16
ch4_12mo_ma,4.838644852624325e-27
n2o_12mo_ma,-6.048306065780406e-28
ch4_growth_rate,0.0
n2o_growth_rate,0.0
