date,year,month,temp_anomaly,co2,ch4,n2o,co2_emissions,months_since_start,co2_growth_rate,ch4_growth_rate,n2o_growth_rate,co2_12mo_ma,ch4_12mo_ma,n2o_12mo_ma,temp_12mo_ma
1884-10-01,1884,10,-0.25,336.56,1625.97,316.3,1009.761962890625,57,0.0,0.0,0.0,336.56,1625.97,316.3,-0.26166666666666666
1884-11-01,1884,11,-0.33,336.56,1625.97,316.3,1009.761962890625,58,0.0,0.0,0.0,336.56,1625.97,316.3,-0.2691666666666667
1884-12-01,1884,12,-0.31,336.56,1625.97,316.3,1009.761962890625,59,0.0,0.0,0.0,336.56,1625.97,316.3,-0.285
1885-01-01,1885,1,-0.59,336.56,1625.97,316.3,1017.4891357421876,60,0.0,0.0,0.0,336.56,1625.97,316.3,-0.3233333333333333
1885-02-01,1885,2,-0.34,336.56,1625.97,316.3,1017.4891357421876,61,0.0,0.0,0.0,336.56,1625.97,316.3,-0.345
1885-03-01,1885,3,-0.27,336.56,1625.97,316.3,1017.4891357421876,62,0.0,0.0,0.0,336.56,1625.97,316.3,-0.33666666666666667
1885-04-01,1885,4,-0.42,336.56,1625.97,316.3,1017.4891357421876,63,0.0,0.0,0.0,336.56,1625.97,316.3,-0.3383333333333334
1885-05-01,1885,5,-0.46,336.56,1625.97,316.3,1017.4891357421876,64,0.0,0.0,0.0,336.56,1625.97,316.3,-0.3483333333333334
1885-06-01,1885,6,-0.44,336.56,1625.97,316.3,1017.4891357421876,65,0.0,0.0,0.0,336.56,1625.97,316.3,-0.3558333333333334
1885-07-01,1885,7,-0.34,336.56,1625.97,316.3,1017.4891357421876,66,0.0,0.0,0.0,336.56,1625.97,316.3,-0.35833333333333334
1885-08-01,1885,8,-0.31,336.56,1625.97,316.3,1017.4891357421876,67,0.0,0.0,0.0,336.56,1625.97,316.3,-0.36083333333333334
1885-09-01,1885,9,-0.28,336.56,1625.97,316.3,1017.4891357421876,68,0.0,0.0,0.0,336.56,1625.97,316.3,-0.36166666666666664
1885-10-01,1885,10,-0.23,336.56,1625.97,316.3,1017.4891357421876,69,0.0,0.0,0.0,336.56,1625.97,316.3,-0.36000000000000004
1885-11-01,1885,11,-0.24,336.56,1625.97,316.3,1017.4891357421876,70,0.0,0.0,0.0,336.56,1625.97,316.3,-0.35250000000000004
1885-12-01,1885,12,-0.1,336.56,1625.97,316.3,1017.4891357421876,71,0.0,0.0,0.0,336.56,1625.97,316.3,-0.335
1886-01-01,1886,1,-0.44,336.56,1625.97,316.3,1032.9873046875,72,0.0,0.0,0.0,336.56,1625.97,316.3,-0.3225
1886-02-01,1886,2,-0.51,336.56,1625.97,316.3,1032.9873046875,73,0.0,0.0,0.0,336.56,1625.97,316.3,-0.33666666666666667
1886-03-01,1886,3,-0.43,336.56,1625.97,316.3,1032.9873046875,74,0.0,0.0,0.0,336.56,1625.97,316.3,-0.35000000000000003
1886-04-01,1886,4,-0.28,336.56,1625.97,316.3,1032.9873046875,75,0.0,0.0,0.0,336.56,1625.97,316.3,-0.3383333333333334
1886-05-01,1886,5,-0.25,336.56,1625.97,316.3,1032.9873046875,76,0.0,0.0,0.0,336.56,1625.97,316.3,-0.32083333333333336
1886-06-01,1886,6,-0.35,336.56,1625.97,316.3,1032.9873046875,77,0.0,0.0,0.0,336.56,1625.97,316.3,-0.31333333333333335
1886-07-01,1886,7,-0.19,336.56,1625.97,316.3,1032.9873046875,78,0.0,0.0,0.0,336.56,1625.97,316.3,-0.30083333333333334
1886-08-01,1886,8,-0.31,336.56,1625.97,316.3,1032.9873046875,79,0.0,0.0,0.0,336.56,1625.97,316.3,-0.30083333333333334
1886-09-01,1886,9,-0.24,336.56,1625.97,316.3,1032.9873046875,80,0.0,0.0,0.0,336.56,1625.97,316.3,-0.2975
1886-10-01,1886,10,-0.28,336.56,1625.97,316.3,1032.9873046875,81,0.0,0.0,0.0,336.56,1625.97,316.3,-0.3016666666666667
1886-11-01,1886,11,-0.28,336.56,1625.97,316.3,1032.9873046875,82,0.0,0.0,0.0,336.56,1625.97,316.3,-0.305
1886-12-01,1886,12,-0.25,336.56,1625.97,316.3,1032.9873046875,83,0.0,0.0,0.0,336.56,1625.97,316.3,-0.3175
1887-01-01,1887,1,-0.72,336.56,1625.97,316.3,1084.283203125,84,0.0,0.0,0.0,336.56,1625.97,316.3,-0.3408333333333333
1887-02-01,1887,2,-0.57,336.56,1625.97,316.3,1084.283203125,85,0.0,0.0,0.0,336.56,1625.97,316.3,-0.3458333333333334
1887-03-01,1887,3,-0.36,336.56,1625.97,316.3,1084.283203125,86,0.0,0.0,0.0,336.56,1625.97,316.3,-0.34
1887-04-01,1887,4,-0.35,336.56,1625.97,316.3,1084.283203125,87,0.0,0.0,0.0,336.56,1625.97,316.3,-0.3458333333333334
1887-05-01,1887,5,-0.31,336.56,1625.97,316.3,1084.283203125,88,0.0,0.0,0.0,336.56,1625.97,316.3,-0.35083333333333333
1887-06-01,1887,6,-0.25,336.56,1625.97,316.3,1084.283203125,89,0.0,0.0,0.0,336.56,1625.97,316.3,-0.3425
1887-07-01,1887,7,-0.26,336.56,1625.97,316.3,1084.283203125,90,0.0,0.0,0.0,336.56,1625.97,316.3,-0.34833333333333333
1887-08-01,1887,8,-0.36,336.56,1625.97,316.3,1084.283203125,91,0.0,0.0,0.0,336.56,1625.97,316.3,-0.3525
1887-09-01,1887,9,-0.26,336.56,1625.97,316.3,1084.283203125,92,0.0,0.0,0.0,336.56,1625.97,316.3,-0.3541666666666667
1887-10-01,1887,10,-0.35,336.56,1625.97,316.3,1084.283203125,93,0.0,0.0,0.0,336.56,1625.97,316.3,-0.36000000000000004
1887-11-01,1887,11,-0.26,336.56,1625.97,316.3,1084.283203125,94,0.0,0.0,0.0,336.56,1625.97,316.3,-0.35833333333333334
1887-12-01,1887,12,-0.33,336.56,1625.97,316.3,1084.283203125,95,0.0,0.0,0.0,336.56,1625.97,316.3,-0.365
1888-01-01,1888,1,-0.34,336.56,1625.97,316.3,1201.3416748046875,96,0.0,0.0,0.0,336.56,1625.97,316.3,-0.3333333333333333
1888-02-01,1888,2,-0.37,336.56,1625.97,316.3,1201.3416748046875,97,0.0,0.0,0.0,336.56,1625.97,316.3,-0.3166666666666667
1888-03-01,1888,3,-0.41,336.56,1625.97,316.3,1201.3416748046875,98,0.0,0.0,0.0,336.56,1625.97,316.3,-0.32083333333333336
1888-04-01,1888,4,-0.21,336.56,1625.97,316.3,1201.3416748046875,99,0.0,0.0,0.0,336.56,1625.97,316.3,-0.30916666666666665
1888-05-01,1888,5,-0.22,336.56,1625.97,316.3,1201.3416748046875,100,0.0,0.0,0.0,336.56,1625.97,316.3,-0.3016666666666667
1888-06-01,1888,6,-0.17,336.56,1625.97,316.3,1201.3416748046875,101,0.0,0.0,0.0,336.56,1625.97,316.3,-0.295
1888-07-01,1888,7,-0.11,336.56,1625.97,316.3,1201.3416748046875,102,0.0,0.0,0.0,336.56,1625.97,316.3,-0.2825
1888-08-01,1888,8,-0.16,336.56,1625.97,316.3,1201.3416748046875,103,0.0,0.0,0.0,336.56,1625.97,316.3,-0.2658333333333333
1888-09-01,1888,9,-0.12,336.56,1625.97,316.3,1201.3416748046875,104,0.0,0.0,0.0,336.56,1625.97,316.3,-0.2541666666666667
1888-10-01,1888,10,0.01,336.56,1625.97,316.3,1201.3416748046875,105,0.0,0.0,0.0,336.56,1625.97,316.3,-0.22416666666666665
1888-11-01,1888,11,0.02,336.56,1625.97,316.3,1201.3416748046875,106,0.0,0.0,0.0,336.56,1625.97,316.3,-0.2008333333333333
1888-12-01,1888,12,-0.05,336.56,1625.97,316.3,1201.3416748046875,107,0.0,0.0,0.0,336.56,1625.97,316.3,-0.17750000000000002
1889-01-01,1889,1,-0.1,336.56,1625.97,316.3,1202.0975341796875,108,0.0,0.0,0.0,336.56,1625.97,316.3,-0.1575
